Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"19 enero, 2026",KUME DEL CARIBE,KCA090331MM5,"KUSHI 6"" KOKUSAN  2.5 BROCHETA DE BAMBU 200/100 PZAS 62105 DS0036",5,$11.00,$0.00,$8.80,-$63.80,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1KIxTv34ryerNo5uwZ8L_18PQ3ISY7Gai/view?usp=drivesdk,F3CEB14F-2EF1-4566-B84C-B144D5FB35CE,2026-01-20 13:19
"19 enero, 2026",KUME DEL CARIBE,KCA090331MM5,OHASHI MADERA KOKUSAN  CON FUNDA 40/100 P W203 * DS0011,2,$49.00,$0.00,$15.68,-$113.68,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1KIxTv34ryerNo5uwZ8L_18PQ3ISY7Gai/view?usp=drivesdk,F3CEB14F-2EF1-4566-B84C-B144D5FB35CE,2026-01-20 13:19
"20 enero, 2026",AGUA 3 RÍOS,XEXX010101000,GARRAFONES DE AGUA,7,$28.00,$0.00,$0.00,-$196.00,Insumos Bebidas,Costo de Venta,Google Forms,,,2026-01-20 14:39
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,2K AZUCAR MA,1,$55.24,$1.24,$0.00,-$54.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM SERVITOA,1,$224.87,$5.05,$35.17,-$254.99,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM LAVAPL,2,$86.42,$3.89,$27.03,-$195.99,Limpieza,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,KNORR SUIZA,1,$346.80,$7.80,$0.00,-$339.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM BEBIDA CO,2,$203.58,$9.15,$0.00,-$398.01,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,INDIO 12 PK,2,$174.61,$7.85,$54.62,-$395.99,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,MM MAYO REAL,1,$285.41,$6.42,$0.00,-$278.99,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"20 enero, 2026",NUEVA WAL MART DE MEXICO,NWM9709244W4,CERV XXL24,1,$447.12,$10.05,$69.93,-$507.00,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1Sfmiwc7WCnFTdJAQyKolD6A4Eae0-cGN/view?usp=drivesdk,5216F08F-C020-4C00-89B0-1763BF1A45C6,2026-01-20 19:19
"21 enero, 2026",POLLO INDUSTRIALIZADO DE MEXICO,PIM901016747,PECHUGA S/H IQF K,28.33,$78.00,$0.00,$0.00,"-$2,209.74",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1QldiivIR3wq1PEol52x-PL5kbTJRRwI8/view?usp=drivesdk,4BDE78D9-1074-4D82-BFF3-7BF2D56ECE42,2026-01-21 09:34
"21 enero, 2026",EMBOTELLADORAS BEPENSA,EBE7711037Y5,COCA COLA 355 ML LATA 24 P,1,$412.07,$0.00,$65.93,-$478.00,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1A15s0PvUw1-GBtqtmO5cZFRZZvv7g_zx/view?usp=drivesdk,392A50EE-0831-4502-B16E-8D1A15C5468A,2026-01-21 17:34
"21 enero, 2026",EMBOTELLADORAS BEPENSA,EBE7711037Y5,CRISTAL MINERALIZADA 355 ML LATA 24P,1,$361.64,$0.00,$57.86,-$419.50,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1A15s0PvUw1-GBtqtmO5cZFRZZvv7g_zx/view?usp=drivesdk,392A50EE-0831-4502-B16E-8D1A15C5468A,2026-01-21 17:34
"21 enero, 2026",EMBOTELLADORAS BEPENSA,EBE7711037Y5,CRISTAL MINERALIZADA 600 ML NRP 12P,1,$164.22,$0.00,$26.28,-$190.50,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1A15s0PvUw1-GBtqtmO5cZFRZZvv7g_zx/view?usp=drivesdk,392A50EE-0831-4502-B16E-8D1A15C5468A,2026-01-21 17:34
"21 enero, 2026",EMBOTELLADORAS BEPENSA,EBE7711037Y5,AP CRISTAL 600 ML NRP,1,$342.00,$0.00,$0.00,-$342.00,Insumos Bebidas,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1A15s0PvUw1-GBtqtmO5cZFRZZvv7g_zx/view?usp=drivesdk,392A50EE-0831-4502-B16E-8D1A15C5468A,2026-01-21 17:34
"21 enero, 2026",JORGE MICHEL MORENO MERCADILLO,MOMJ910228SS3,GALANGAL FRESCO RAÍZ DE GALANGA FRESCA (ALPINIA GALANGA).,5,$290.00,$0.00,$0.00,"-$1,450.00",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1FIuhzd-uqeQn1BAM7yXN5ayQW_TGqVvk/view?usp=drivesdk,455D2A04-EEE0-5F39-8C82-514C23133048,2026-01-21 19:19
"21 enero, 2026",POLLO INDUSTRIALIZADO DE MEXICO,PIM901016747,PECHUGA S/H IQF K,28.64,$78.00,$0.00,$0.00,"-$2,233.92",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1b-NOI1qeu8fMbdiDbjR5Apaj8EILdFJu/view?usp=drivesdk,D653304F-0A8D-4244-B14E-A72BF5B407D7,2026-01-21 19:49
"22 enero, 2026",JESÚS FIGUEROA,XEXX010101000,MANTENIMIENTO DE CLIMAS,2,$650.00,$0.00,$0.00,"-$1,300.00",Mantenimiento,Gastos Operativos,Google Forms,,,2026-01-22 13:50
"22 enero, 2026",HFUMIGACIONES,HFU190128GC3,FUMIGACION GENERAL,1,"$1,200.00",$0.00,$192.00,"-$1,392.00",Servicios,Gastos Operativos,Auto Gmail,https://drive.google.com/file/d/18hjMT21OJFWlM-7QRhDmyc2tMZMrAMYQ/view?usp=drivesdk,7BDA22C6-E879-402D-BEB5-8FE28ABC71AC,2026-01-22 15:49
