Fecha,Proveedor,RFC,Descripción,Cantidad,P. Unitario,Descuento,Impuestos,Total,Categoría,Grupo P&L,Origen,Link de Factura,UUID,Procesado_En
"26 enero, 2026",CASA SANTOS LUGO,CSL000915HJ9,GASTOS DE ENVIO,1,$43.10,$0.00,$6.90,-$50.00,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1x3j-FNzEexhdpLmueVfisr-YmP4JKX4o/view?usp=drivesdk,4C3159E7-FB0B-11F0-8681-8F8E1C611F44,2026-01-26 17:19
"26 enero, 2026",ENVASUR,ENV111214BF0,GALON PEAD 3.785 ML 90 GRS. (BTO/28) T.38,28,$15.54,$43.51,$62.66,-$454.27,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1R6z8wc54u6VI6-ztCPfy0ub5JMrwfurd/view?usp=drivesdk,89BA47B6-3BBB-1E40-AD39-1B4F16E03081,2026-01-26 22:19
"26 enero, 2026",ENVASUR,ENV111214BF0,TAPA 38 MM BLANCA C/LINER (BTO/3000),28,$0.83,$0.00,$3.72,-$26.96,Desechables,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1R6z8wc54u6VI6-ztCPfy0ub5JMrwfurd/view?usp=drivesdk,89BA47B6-3BBB-1E40-AD39-1B4F16E03081,2026-01-26 22:19
"26 enero, 2026",DISTRIBUIDORA BAHIA KINO,DBK0205305Q7,CAMARON CRUDO 36-40 (PC),6,$175.00,$0.00,$0.00,"-$1,050.00",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/16EdzYsByscUTgBo5XzjWA_ZnPPfPbyba/view?usp=drivesdk,C51CE970-7D28-41DF-8C74-586F482E4A11,2026-01-27 11:04
"26 enero, 2026",DISTRIBUIDORA BAHIA KINO,DBK0205305Q7,FILETE TILAPIA 3-5  100% CP,4.54,$90.00,$0.00,$0.00,-$408.60,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/16EdzYsByscUTgBo5XzjWA_ZnPPfPbyba/view?usp=drivesdk,C51CE970-7D28-41DF-8C74-586F482E4A11,2026-01-27 11:04
"26 enero, 2026",COSTCO DE MEXICO,XEXX010101000,VARIOS CASA,1,"$1,062.53",$0.00,$0.00,"-$1,062.53",Personal,Gastos Personales,Google Forms,,,2026-01-30 16:34
"27 enero, 2026",PRODUCTOS ORGANICOS DE CARMEN,POC2001112EA,GRANEL COCO RALLADO BLANCO PURO (ORGÁNICO) GRANEL KG,25,$150.00,$0.00,$0.00,"-$3,750.00",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1ZBJvbW1jIOljbjYyopX9YgjRdDkqSVp_/view?usp=drivesdk,F73D13BD-D2B2-4D2D-BA9D-B386F4DA4E22,2026-01-27 15:34
"27 enero, 2026",PRODUCTOS ORGANICOS DE CARMEN,POC2001112EA,FLEJADO Y EMPACADO,1,$290.00,$0.00,$46.40,-$336.40,Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1ZBJvbW1jIOljbjYyopX9YgjRdDkqSVp_/view?usp=drivesdk,F73D13BD-D2B2-4D2D-BA9D-B386F4DA4E22,2026-01-27 15:34
"27 enero, 2026",HIELO MARMAN,XEXX010101000,BOLSAS DE HIELO,5,$20.00,$0.00,$0.00,-$100.00,Insumos Bebidas,Costo de Venta,Google Forms,,,2026-01-27 16:30
"27 enero, 2026",AGUA 3 RÍOS,XEXX010101000,GARRAFONES DE AGUA,5,$28.00,$0.00,$0.00,-$140.00,Insumos Bebidas,Costo de Venta,Google Forms,,,2026-01-27 16:30
"27 enero, 2026",POLLO INDUSTRIALIZADO DE MEXICO,PIM901016747,PECHUGA S/H IQF K,29.26,$78.00,$0.00,$0.00,"-$2,282.28",Insumos Alimentos,Costo de Venta,Auto Gmail,https://drive.google.com/file/d/1faaKiliIEfGl6teXtAMvAMPO9IuyL1hm/view?usp=drivesdk,C451A2FF-C035-4340-93A8-560D621F68EB,2026-01-27 19:19
